script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,136,1.0,0.137,0.00024660000000000003,0.00024660000000000003
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,137,1.0,0.138,0.0002484,0.0002484
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,138,1.0,0.139,0.0002502,0.0002502
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,139,1.0,0.14,0.000252,0.000252
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,140,1.0,0.141,0.0002538,0.0002538
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,141,1.0,0.142,0.0002556,0.0002556
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,142,1.0,0.143,0.00025739999999999997,0.00025739999999999997
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,143,1.0,0.144,0.00025919999999999996,0.00025919999999999996
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,144,1.0,0.145,0.000261,0.000261
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,145,1.0,0.146,0.0002628,0.0002628
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,146,1.0,0.147,0.0002646,0.0002646
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,147,1.0,0.148,0.00026639999999999997,0.00026639999999999997
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,148,1.0,0.149,0.00026819999999999996,0.00026819999999999996
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,149,1.0,0.15,0.00027,0.00027
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,150,1.0,0.151,0.0002718,0.0002718
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,151,1.0,0.152,0.0002736,0.0002736
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,152,1.0,0.153,0.00027539999999999997,0.00027539999999999997
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,153,1.0,0.154,0.0002772,0.0002772
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,154,1.0,0.155,0.000279,0.000279
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,155,1.0,0.156,0.0002808,0.0002808
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,156,1.0,0.157,0.0002826,0.0002826
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,157,1.0,0.158,0.0002844,0.0002844
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,158,1.0,0.159,0.0002862,0.0002862
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,159,1.0,0.16,0.000288,0.000288
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,160,1.0,0.161,0.0002898,0.0002898
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,161,1.0,0.162,0.0002916,0.0002916
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,162,1.0,0.163,0.0002934,0.0002934
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,163,1.0,0.164,0.0002952,0.0002952
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,164,1.0,0.165,0.000297,0.000297
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,165,1.0,0.166,0.0002988,0.0002988
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,166,1.0,0.167,0.0003006,0.0003006
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,167,1.0,0.168,0.00030240000000000003,0.00030240000000000003
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,168,1.0,0.169,0.0003042,0.0003042
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,169,1.0,0.17,0.000306,0.000306
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,170,1.0,0.171,0.0003078,0.0003078
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,171,1.0,0.172,0.0003096,0.0003096
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,172,1.0,0.173,0.0003114,0.0003114
